ID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Tr1,Tr2,Tr3,Tr4,Tr5,Tr6,Tr7,Tr8,Tr9,Tr10
phenoA,1.401752156,10.86554169,6.089470248,10.12311924,15.24448374,7.229920855,6.144185398,7.739004774,15.94608273,14.00492074,0.140175216,1.086554169,0.608947025,1.012311924,1.524448374,0.722992086,0.61441854,0.773900477,1.594608273,1.400492074
phenoB,9.08484727,10.95696953,10.51314057,12.28296377,20.61129782,11.91097308,8.396417831,12.9953509,17.96543132,17.4916216,0.908484727,1.095696953,1.051314057,1.228296377,2.061129782,1.191097308,0.839641783,1.29953509,1.796543132,1.74916216
phenoC,1.021301127,0.254920596,0.509197253,0.394527852,0.137103087,0.301919378,0.378294292,0.283802864,0.188477067,0.206937992,10.21301127,2.549205965,5.091972534,3.945278516,1.371030871,3.019193776,3.782942925,2.838028637,1.884770665,2.069379915
geneE,2.45667837,5.123782838,2.541491882,2.616754859,7.600766365,4.243364223,4.341128043,4.65641732,6.077107857,5.109994864,0.245667837,0.512378284,0.254149188,0.261675486,0.760076637,0.424336422,0.434112804,0.465641732,0.607710786,0.510999486
geneF,0.2701455,0.0719554,0.2687061,0.1595763,0.0168817,0.1317826,0.1690031,0.147326,0.0411844,0.1567696,2.701455,0.719554,2.687061,1.595763,0.168817,1.317826,1.690031,1.47326,0.411844,1.567696
geneG,5.116358893,43.36320038,4.235410238,5.194173748,67.66386888,17.52901623,16.85759051,0.376389671,41.65014594,4.13052925,0.511635889,4.336320038,0.423541024,0.519417375,6.766386888,1.752901623,1.685759051,0.037638967,4.165014594,0.413052925
geneH,10.993,104.2677341,22.37,34.23,202.332,54.32,65.69766393,83.82,89.23,32.06157564,1.0993,10.42677341,2.237,3.423,20.2332,5.432,6.569766393,8.382,8.923,3.206157564
geneI,36.961758,99.87478231,73.91148,68.99492,128.248528,48.3852,48.74138901,83.56964,129.39492,104.9575611,12.1986,32.85354681,24.474,22.846,42.4664,15.864,16.13953279,27.764,42.846,34.41231513
geneJ,85.62030055,86.66996973,91.98884235,156.1724318,15.89633628,68.39523266,139.3456832,228.2967344,127.2100798,117.5734062,16.95451496,17.23061029,18.36104638,30.92523402,3.147789362,13.57048267,27.59320459,45.56821045,25.2400952,23.42099726
phenoK,9.766969454,7.181393906,19.08262811,26.43659275,23.09225956,3.332194616,6.649283566,32.59907018,31.58308626,26.44832432,9.816969454,7.191393906,19.10262811,26.45659275,23.12225956,3.382194616,6.679283566,32.59907018,31.59308626,26.49832432
